tid,fritt_mb,swap_mb,pid,cpu,rss_mb,namn
3.4,715,14202,1760,0.0,0,/Applications/Microsoft
3.4,715,14202,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
3.4,715,14202,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
3.4,715,14202,3324,54.2,444,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
3.4,715,14202,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
3.4,715,14202,91257,0.4,24,/Applications/Microsoft
3.4,715,14202,91258,0.0,0,/Applications/Microsoft
3.4,715,14202,91259,0.0,2,/Applications/Microsoft
3.4,715,14202,91263,0.0,29,/Applications/Microsoft
3.4,715,14202,91265,0.0,0,/Applications/Microsoft
3.4,715,14202,91266,0.1,31,/Applications/Microsoft
3.4,715,14202,91268,0.0,8,/Applications/Microsoft
3.4,715,14202,91270,0.0,8,/Applications/Microsoft
3.4,715,14202,91271,0.0,32,/Applications/Microsoft
3.4,715,14202,91272,0.0,11,/Applications/Microsoft
3.4,715,14202,91279,3.0,403,/Applications/Microsoft
3.4,715,14202,91280,41.3,169,/Applications/Microsoft
3.4,715,14202,91295,0.0,6,/Applications/Microsoft
3.4,715,14202,91296,0.0,4,/Applications/Microsoft
3.4,715,14202,91305,0.0,9,/Applications/Microsoft
3.4,715,14202,91318,0.0,11,/Applications/Microsoft
3.4,715,14202,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
3.4,715,14202,98129,0.3,577,/Applications/Ollama.app/Contents/Resources/llama-server
4.0,647,14186,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
4.0,647,14186,1760,0.0,0,/Applications/Microsoft
4.0,647,14186,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
4.0,647,14186,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
4.0,647,14186,3324,43.8,488,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
4.0,647,14186,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
4.0,647,14186,91257,0.4,25,/Applications/Microsoft
4.0,647,14186,91258,0.0,0,/Applications/Microsoft
4.0,647,14186,91259,0.0,2,/Applications/Microsoft
4.0,647,14186,91263,0.0,31,/Applications/Microsoft
4.0,647,14186,91265,0.0,0,/Applications/Microsoft
4.0,647,14186,91266,0.3,31,/Applications/Microsoft
4.0,647,14186,91268,0.0,8,/Applications/Microsoft
4.0,647,14186,91270,0.0,8,/Applications/Microsoft
4.0,647,14186,91271,0.0,32,/Applications/Microsoft
4.0,647,14186,91272,0.0,11,/Applications/Microsoft
4.0,647,14186,91279,1.0,403,/Applications/Microsoft
4.0,647,14186,91280,42.4,173,/Applications/Microsoft
4.0,647,14186,91295,0.0,6,/Applications/Microsoft
4.0,647,14186,91296,0.0,4,/Applications/Microsoft
4.0,647,14186,91305,0.0,9,/Applications/Microsoft
4.0,647,14186,91318,0.0,11,/Applications/Microsoft
4.0,647,14186,96687,0.2,3534,/Applications/Ollama.app/Contents/Resources/llama-server
4.0,647,14186,98129,0.3,577,/Applications/Ollama.app/Contents/Resources/llama-server
4.6,368,14186,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
4.6,368,14186,1760,0.0,0,/Applications/Microsoft
4.6,368,14186,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
4.6,368,14186,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
4.6,368,14186,3324,68.1,728,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
4.6,368,14186,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
4.6,368,14186,91257,1.0,26,/Applications/Microsoft
4.6,368,14186,91258,0.0,0,/Applications/Microsoft
4.6,368,14186,91259,0.0,2,/Applications/Microsoft
4.6,368,14186,91263,0.0,31,/Applications/Microsoft
4.6,368,14186,91265,0.0,0,/Applications/Microsoft
4.6,368,14186,91266,0.0,31,/Applications/Microsoft
4.6,368,14186,91268,0.0,8,/Applications/Microsoft
4.6,368,14186,91270,0.0,8,/Applications/Microsoft
4.6,368,14186,91271,0.0,32,/Applications/Microsoft
4.6,368,14186,91272,0.0,11,/Applications/Microsoft
4.6,368,14186,91279,0.1,403,/Applications/Microsoft
4.6,368,14186,91280,44.1,173,/Applications/Microsoft
4.6,368,14186,91295,0.0,6,/Applications/Microsoft
4.6,368,14186,91296,0.0,4,/Applications/Microsoft
4.6,368,14186,91305,0.0,9,/Applications/Microsoft
4.6,368,14186,91318,0.0,12,/Applications/Microsoft
4.6,368,14186,96687,0.2,3534,/Applications/Ollama.app/Contents/Resources/llama-server
4.6,368,14186,98129,0.2,577,/Applications/Ollama.app/Contents/Resources/llama-server
5.1,287,14186,1187,0.3,265,/Applications/Ollama.app/Contents/Resources/llama-server
5.1,287,14186,1760,0.0,0,/Applications/Microsoft
5.1,287,14186,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
5.1,287,14186,3311,0.0,10,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
5.1,287,14186,3324,153.4,1037,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
5.1,287,14186,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
5.1,287,14186,91257,0.5,24,/Applications/Microsoft
5.1,287,14186,91258,0.0,0,/Applications/Microsoft
5.1,287,14186,91259,0.0,2,/Applications/Microsoft
5.1,287,14186,91263,0.0,27,/Applications/Microsoft
5.1,287,14186,91265,0.0,0,/Applications/Microsoft
5.1,287,14186,91266,0.3,31,/Applications/Microsoft
5.1,287,14186,91268,0.0,6,/Applications/Microsoft
5.1,287,14186,91270,0.0,8,/Applications/Microsoft
5.1,287,14186,91271,0.0,28,/Applications/Microsoft
5.1,287,14186,91272,0.0,11,/Applications/Microsoft
5.1,287,14186,91279,2.4,363,/Applications/Microsoft
5.1,287,14186,91280,40.3,170,/Applications/Microsoft
5.1,287,14186,91295,0.0,6,/Applications/Microsoft
5.1,287,14186,91296,0.0,6,/Applications/Microsoft
5.1,287,14186,91305,0.0,9,/Applications/Microsoft
5.1,287,14186,91318,0.0,12,/Applications/Microsoft
5.1,287,14186,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
5.1,287,14186,98129,0.3,577,/Applications/Ollama.app/Contents/Resources/llama-server
5.7,1178,14186,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
5.7,1178,14186,1760,0.0,0,/Applications/Microsoft
5.7,1178,14186,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
5.7,1178,14186,3311,0.2,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
5.7,1178,14186,3491,29.9,123,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
5.7,1178,14186,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
5.7,1178,14186,91257,0.8,25,/Applications/Microsoft
5.7,1178,14186,91258,0.0,0,/Applications/Microsoft
5.7,1178,14186,91259,0.0,2,/Applications/Microsoft
5.7,1178,14186,91263,0.0,27,/Applications/Microsoft
5.7,1178,14186,91265,0.0,0,/Applications/Microsoft
5.7,1178,14186,91266,0.0,31,/Applications/Microsoft
5.7,1178,14186,91268,0.0,6,/Applications/Microsoft
5.7,1178,14186,91270,0.0,8,/Applications/Microsoft
5.7,1178,14186,91271,0.0,28,/Applications/Microsoft
5.7,1178,14186,91272,0.0,11,/Applications/Microsoft
5.7,1178,14186,91279,0.3,363,/Applications/Microsoft
5.7,1178,14186,91280,43.5,170,/Applications/Microsoft
5.7,1178,14186,91295,0.0,6,/Applications/Microsoft
5.7,1178,14186,91296,0.0,6,/Applications/Microsoft
5.7,1178,14186,91305,0.0,9,/Applications/Microsoft
5.7,1178,14186,91318,0.0,12,/Applications/Microsoft
5.7,1178,14186,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
5.7,1178,14186,98129,0.2,577,/Applications/Ollama.app/Contents/Resources/llama-server
6.2,1113,14186,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
6.2,1113,14186,1760,0.0,0,/Applications/Microsoft
6.2,1113,14186,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
6.2,1113,14186,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
6.2,1113,14186,3491,53.4,190,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
6.2,1113,14186,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
6.2,1113,14186,91257,0.9,26,/Applications/Microsoft
6.2,1113,14186,91258,0.0,0,/Applications/Microsoft
6.2,1113,14186,91259,0.0,2,/Applications/Microsoft
6.2,1113,14186,91263,0.0,28,/Applications/Microsoft
6.2,1113,14186,91265,0.0,0,/Applications/Microsoft
6.2,1113,14186,91266,0.3,31,/Applications/Microsoft
6.2,1113,14186,91268,0.0,6,/Applications/Microsoft
6.2,1113,14186,91270,0.0,9,/Applications/Microsoft
6.2,1113,14186,91271,0.0,28,/Applications/Microsoft
6.2,1113,14186,91272,0.0,11,/Applications/Microsoft
6.2,1113,14186,91279,0.7,369,/Applications/Microsoft
6.2,1113,14186,91280,37.9,173,/Applications/Microsoft
6.2,1113,14186,91295,0.0,6,/Applications/Microsoft
6.2,1113,14186,91296,0.0,6,/Applications/Microsoft
6.2,1113,14186,91305,0.0,9,/Applications/Microsoft
6.2,1113,14186,91318,0.0,12,/Applications/Microsoft
6.2,1113,14186,96687,0.2,3534,/Applications/Ollama.app/Contents/Resources/llama-server
6.2,1113,14186,98129,0.2,577,/Applications/Ollama.app/Contents/Resources/llama-server
6.8,953,14186,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
6.8,953,14186,1760,0.0,0,/Applications/Microsoft
6.8,953,14186,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
6.8,953,14186,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
6.8,953,14186,3491,77.4,246,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
6.8,953,14186,76251,0.1,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
6.8,953,14186,91257,0.5,27,/Applications/Microsoft
6.8,953,14186,91258,0.0,0,/Applications/Microsoft
6.8,953,14186,91259,0.0,2,/Applications/Microsoft
6.8,953,14186,91263,0.1,30,/Applications/Microsoft
6.8,953,14186,91265,0.0,0,/Applications/Microsoft
6.8,953,14186,91266,0.0,31,/Applications/Microsoft
6.8,953,14186,91268,0.0,6,/Applications/Microsoft
6.8,953,14186,91270,0.0,9,/Applications/Microsoft
6.8,953,14186,91271,2.0,56,/Applications/Microsoft
6.8,953,14186,91272,0.0,11,/Applications/Microsoft
6.8,953,14186,91279,0.0,369,/Applications/Microsoft
6.8,953,14186,91280,42.0,174,/Applications/Microsoft
6.8,953,14186,91295,0.0,6,/Applications/Microsoft
6.8,953,14186,91296,0.0,6,/Applications/Microsoft
6.8,953,14186,91305,0.0,9,/Applications/Microsoft
6.8,953,14186,91318,0.0,12,/Applications/Microsoft
6.8,953,14186,96687,0.2,3534,/Applications/Ollama.app/Contents/Resources/llama-server
6.8,953,14186,98129,0.2,577,/Applications/Ollama.app/Contents/Resources/llama-server
7.3,752,14114,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
7.3,752,14114,1760,0.0,0,/Applications/Microsoft
7.3,752,14114,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
7.3,752,14114,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
7.3,752,14114,3491,69.7,291,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
7.3,752,14114,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
7.3,752,14114,91257,0.3,27,/Applications/Microsoft
7.3,752,14114,91258,0.0,0,/Applications/Microsoft
7.3,752,14114,91259,0.0,2,/Applications/Microsoft
7.3,752,14114,91263,0.0,30,/Applications/Microsoft
7.3,752,14114,91265,0.0,0,/Applications/Microsoft
7.3,752,14114,91266,0.1,31,/Applications/Microsoft
7.3,752,14114,91268,0.0,6,/Applications/Microsoft
7.3,752,14114,91270,0.0,9,/Applications/Microsoft
7.3,752,14114,91271,0.2,56,/Applications/Microsoft
7.3,752,14114,91272,0.0,11,/Applications/Microsoft
7.3,752,14114,91279,0.1,369,/Applications/Microsoft
7.3,752,14114,91280,46.1,177,/Applications/Microsoft
7.3,752,14114,91295,0.0,6,/Applications/Microsoft
7.3,752,14114,91296,0.0,6,/Applications/Microsoft
7.3,752,14114,91305,0.0,9,/Applications/Microsoft
7.3,752,14114,91318,0.0,12,/Applications/Microsoft
7.3,752,14114,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
